"overagency","overabbrev","overlevel","opabbrev","optype"
"Amtrak","Amtrak",,"Amtrak","Public"
"Brooklyn Bridge Park Corporation","BBPC",,"BBPC","Public"
"Brooklyn Public Library","BPL","City","BPL","Public"
"City University of New York","CUNY","City","CUNY","Public"
"Federal Bureau of Prisons","FBOP","Federal","FBOP","Public"
"Hudson River Park Trust","HRPT",,"HRPT","Public"
"Metropolitan Transportation Authority","MTA","State","MTA","Public"
"National Park Service","USNPS","Federal","USNPS","Public"
"New York Public Library","NYPL","City","NYPL","Public"
"Non-public","Non-public",,"Non-public","Non-public"
"NYC Manhattan Community Board 1","NYCCB101","City","NYCCB101","Public"
"NYC Manhattan Community Board 2","NYCCB102","City","NYCCB102","Public"
"NYC Manhattan Community Board 3","NYCCB103","City","NYCCB103","Public"
"NYC Manhattan Community Board 5","NYCCB105","City","NYCCB105","Public"
"NYC Manhattan Community Board 6","NYCCB106","City","NYCCB106","Public"
"NYC Manhattan Community Board 7","NYCCB107","City","NYCCB107","Public"
"NYC Manhattan Community Board 8","NYCCB108","City","NYCCB108","Public"
"NYC Manhattan Community Board 9","NYCCB109","City","NYCCB109","Public"
"NYC Manhattan Community Board 10","NYCCB110","City","NYCCB110","Public"
"NYC Manhattan Community Board 11","NYCCB111","City","NYCCB111","Public"
"NYC Manhattan Community Board 12","NYCCB112","City","NYCCB112","Public"
"NYC Bronx Community Board 1","NYCCB201","City","NYCCB201","Public"
"NYC Bronx Community Board 2","NYCCB202","City","NYCCB202","Public"
"NYC Bronx Community Board 3","NYCCB203","City","NYCCB203","Public"
"NYC Bronx Community Board 4","NYCCB204","City","NYCCB204","Public"
"NYC Bronx Community Board 5","NYCCB205","City","NYCCB205","Public"
"NYC Bronx Community Board 6","NYCCB206","City","NYCCB206","Public"
"NYC Bronx Community Board 7","NYCCB207","City","NYCCB207","Public"
"NYC Bronx Community Board 8","NYCCB208","City","NYCCB208","Public"
"NYC BronxCommunity Board 9","NYCCB209","City","NYCCB209","Public"
"NYC Bronx Community Board 10","NYCCB210","City","NYCCB210","Public"
"NYC Bronx Community Board 11","NYCCB211","City","NYCCB211","Public"
"NYC Bronx Community Board 12","NYCCB212","City","NYCCB212","Public"
"NYC Brooklyn Community Board 1","NYCCB301","City","NYCCB301","Public"
"NYC Brooklyn Community Board 3","NYCCB303","City","NYCCB303","Public"
"NYC Brooklyn Community Board 4","NYCCB304","City","NYCCB304","Public"
"NYC Brooklyn Community Board 5","NYCCB305","City","NYCCB305","Public"
"NYC Brooklyn Community Board 6","NYCCB306","City","NYCCB306","Public"
"NYC Brooklyn Community Board 7","NYCCB307","City","NYCCB307","Public"
"NYC Brooklyn Community Board 8","NYCCB308","City","NYCCB308","Public"
"NYC Brooklyn Community Board 9","NYCCB309","City","NYCCB309","Public"
"NYC Brooklyn Community Board 10","NYCCB310","City","NYCCB310","Public"
"NYC Brooklyn Community Board 11","NYCCB311","City","NYCCB311","Public"
