"overagency","overabbrev","overlevel","opabbrev","optype"
"NYC Brooklyn Community Board 12","NYCCB312","City","NYCCB312","Public"
"NYC Brooklyn Community Board 13","NYCCB313","City","NYCCB313","Public"
"NYC Brooklyn Community Board 14","NYCCB314","City","NYCCB314","Public"
"NYC Brooklyn Community Board 15","NYCCB315","City","NYCCB315","Public"
"NYC Brooklyn Community Board 17","NYCCB317","City","NYCCB317","Public"
"NYC Brooklyn Community Board 18","NYCCB318","City","NYCCB318","Public"
"NYC Queens Community Board 2","NYCCB402","City","NYCCB402","Public"
"NYC Queens Community Board 3","NYCCB403","City","NYCCB403","Public"
"NYC Queens Community Board 4","NYCCB404","City","NYCCB404","Public"
"NYC Queens Community Board 5","NYCCB405","City","NYCCB405","Public"
"NYC Queens Community Board 6","NYCCB406","City","NYCCB406","Public"
"NYC Queens Community Board 7","NYCCB407","City","NYCCB407","Public"
"NYC Queens Community Board 8","NYCCB408","City","NYCCB408","Public"
"NYC Queens Community Board 9","NYCCB409","City","NYCCB409","Public"
"NYC Queens Community Board 10","NYCCB410","City","NYCCB410","Public"
"NYC Queens Community Board 11","NYCCB411","City","NYCCB411","Public"
"NYC Queens Community Board 12","NYCCB412","City","NYCCB412","Public"
"NYC Queens Community Board 13","NYCCB413","City","NYCCB413","Public"
"NYC Queens Community Board 14","NYCCB414","City","NYCCB414","Public"
"NYC Staten Island Community Board 1","NYCCB501","City","NYCCB501","Public"
"NYC Staten Island Community Board 2","NYCCB502","City","NYCCB502","Public"
"NYC Staten Island Community Board 3","NYCCB503","City","NYCCB503","Public"
"NYC Administration for Children's Services","NYCACS","City","NYCACS","Public"
"NYC Board of Elections","BOENY","City","BOENY","Public"
"NYC Board of Standards and Appeals","NYCBSA","City","NYCBSA","Public"
"NYC Borough President - Bronx","NYCBP-BX","City","NYCBP-BX","Public"
"NYC Borough President - Brooklyn","NYCBP-BK","City","NYCBP-BK","Public"
"NYC Borough President - Manhattan","NYCBP-MN","City","NYCBP-MN","Public"
"NYC Borough President - Queens","NYCBP-QN","City","NYCBP-QN","Public"
"NYC Borough President - Staten Island","NYCBP-SI","City","NYCBP-SI","Public"
"NYC Business Integrity Commission","NYCBIC","City","NYCBIC","Public"
"NYC Campaign Finance Board","NYCCFB","City","NYCCFB","Public"
"NYC Center for Economic Opportunity","NYCCEO","City","NYCCEO","Public"
"NYC City Council","NYCC","City","NYCC","Public"
"NYC Civil Service Commission","NYCCCSC","City","NYCCCSC","Public"
"NYC Civilian Complaint Review Board","NYCCCRB","City","NYCCCRB","Public"
"NYC Commission on Human Rights","NYCCCHR","City","NYCCCHR","Public"
"NYC Conflict of Interest Board","NYCCOIB","City","NYCCOIB","Public"
"NYC Department for the Aging","NYCDFTA","City","NYCDFTA","Public"
"NYC Department of Buildings","NYCDOB","City","NYCDOB","Public"
"NYC Department of City Planning","NYCDCP","City","NYCDCP","Public"
"NYC Department of Citywide Administrative Services","NYCDCAS","City","NYCDCAS","Public"
"NYC Department of Consumer Affairs","NYCDCA","City","NYCDCA","Public"
"NYC Department of Correction","NYCDOC","City","NYCDOC","Public"
"NYC Department of Cultural Affairs","NYCDCLA","City","NYCDCLA","Public"
"NYC Department of Design and Construction","NYCDDC","City","NYCDDC","Public"
"NYC Department of Education","NYCDOE","City","NYCDOE","Public"
"NYC Department of Environmental Protection","NYCDEP","City","NYCDEP","Public"
"NYC Department of Finance","NYCDOF","City","NYCDOF","Public"
"NYC Department of Health and Mental Hygiene","NYCDOHMH","City","NYCDOHMH","Public"
"NYC Department of Homeless Services","NYCDHS","City","NYCDHS","Public"
"NYC Department of Housing Preservation and Development","NYCHPD","City","NYCHPD","Public"
"NYC Department of Information Technology and Telecommunications","NYCDOITT","City","NYCDOITT","Public"
"NYC Department of Investigation","NYCDOI","City","NYCDOI","Public"
"NYC Department of Parks and Recreation","NYCDPR","City","NYCDPR","Public"
"NYC Department of Probation","NYCDOP","City","NYCDOP","Public"
"NYC Department of Records and Information Services","NYCDORIS","City","NYCDORIS","Public"
"NYC Department of Sanitation","NYCDSNY","City","NYCDSNY","Public"
"NYC Department of Small Business Services","NYCSBS","City","NYCSBS","Public"
"NYC Department of Transportation","NYCDOT","City","NYCDOT","Public"
"NYC Department of Youth and Community Development","NYCDYCD","City","NYCDYCD","Public"
"NYC District Attorney - Bronx ","NYCDA-BX","City","NYCDA-BX","Public"
"NYC District Attorney - Brooklyn","NYCDA-BK","City","NYCDA-BK","Public"
"NYC District Attorney - Manhattan","NYCDA-MN","City","NYCDA-MN","Public"
"NYC District Attorney - Office Special Narcotics","NYCDA-SNP","City","NYCDA-SNP","Public"
"NYC District Attorney - Queens","NYCDA-QN","City","NYCDA-QN","Public"
"NYC District Attorney - Staten Island","NYCDA-SI","City","NYCDA-SI","Public"
"NYC Economic Development Corporation","NYCEDC","City","NYCEDC","Public"
"NYC Fire Department","FDNY","City","FDNY","Public"
"NYC Health and Hospitals Corporation","NYCHHC","City","NYCHHC","Public"
"NYC Housing Authority","NYCHA","City","NYCHA","Public"
"NYC Human Resources Administration","NYCHRA","City","NYCHRA","Public"
"NYC Independent Budget Office","NYCIBO","City","NYCIBO","Public"
"NYC Landmarks Preservation Commission","NYCLPC","City","NYCLPC","Public"
"NYC Law Department","NYCLAW","City","NYCLAW","Public"
"NYC Office of Administrative Trials and Hearings","NYCOATH","City","NYCOATH","Public"
"NYC Office of Collective Bargaining","NYCOCB","City","NYCOCB","Public"
"NYS Office of Court Administration","NYSOCA","State","NYSOCA","Public"
"NYC Office of Emergency Management","NYCEM","City","NYCEM","Public"
"NYC Office of Labor Relations","NYCOLR","City","NYCOLR","Public"
"NYC Office of Management and Budget","NYCOMB","City","NYCOMB","Public"
"NYC Office of Payroll Administration","NYCOPA","City","NYCOPA","Public"
"NYC Office of Public Advocate","NYCPA","City","NYCPA","Public"
"NYC Office of the Actuary","NYCOA","City","NYCOA","Public"
"NYC Office of the City Clerk","NYCCLERK","City","NYCCLERK","Public"
"NYC Office of the Comptroller","NYCCOMP","City","NYCCOMP","Public"
"NYC Office of the Mayor","NYCOOM","City","NYCOOM","Public"
"NYC Office of the Medical Examiner","NYCOCME","City","NYCOCME","Public"
"NYC Police Department","NYPD","City","NYPD","Public"
"NYC Public Administrators Office - Bronx","NYCPA-BX","City","NYCPA-BX","Public"
"NYC Public Administrators Office - Brooklyn","NYCPA-BK","City","NYCPA-BK","Public"
"NYC Public Administrators Office - Manhattan","NYCPA-MN","City","NYCPA-MN","Public"
"NYC Public Administrators Office - Queens","NYCPA-QN","City","NYCPA-QN","Public"
"NYC Public Administrators Office - Staten Island","NYCPA-SI","City","NYCPA-SI","Public"
"NYC Tax Commission","NYCTAXCM","City","NYCTAXCM","Public"
"NYC Taxi and Limousine Commission","NYCTLC","City","NYCTLC","Public"
"NYS Department of Corrections and Community Supervision","NYSDOCCS","State","NYSDOCCS","Public"
"NYS Department of Environmental Conservation","NYSDEC","State","NYSDEC","Public"
"NYS Department of Health","NYSDOH","State","NYSDOH","Public"
"NYS Department of Transportation","NYSDOT","State","NYSDOT","Public"
"NYS Office of Mental Health","NYSOMH","State","NYSOMH","Public"
"NYS Unified Court System","NYCOURTS","State","NYCOURTS","Public"
"Port Authority of New York and New Jersey","PANYNJ","State","PANYNJ","Public"
"Queens Public Library","QPL","City","QPL","Public"
"Roosevelt Island Operating Corporation","RIOC","","RIOC","Public"
"Trust for Governors Island","TGI",,"TGI","Public"
"NYC Board of Correction","NYCBOC","City","NYCBOC","Public"
,"NYCCNTYC","City","NYCCNTYC","Public"
"NYC School Construction Authority","NYCSCA","City","NYCSCA","Public"
"NYC Urban Development Corporation","NYCUDC","City","NYCUDC","Public"
